artist,date,venue,city,region,country
Adam Melchor,2017-12-15,Stone Bar Inn,Stroudsburg,PA,US
Adam Melchor,2017-12-03,Fox and Crow,Jersey City,NJ,US
Adam Melchor,2017-12-01T17:30:00-0500,Oh'brian's on the Green,Clark,NJ,US
Adam Melchor,2017-11-26,Fox and Crow,Jersey City,NJ,US
Adam Melchor,2017-11-25T12:00:00-0500,House of 'Que,Hoboken,NJ,US
Adam Melchor,2017-11-24,Stone Bar Inn,Stroudsburg,PA,US
Adam Melchor,2017-11-21T20:00:00-0500,The Downtown,Red Bank,NJ,US
Adam Melchor,2017-11-19,Fox and Crow,Jersey City,NJ,US
Adam Melchor,2017-11-18,Horseneck Tavern,Caldwell,NJ,US
Adam Melchor,2017-11-14T20:00:00-0500,C'mon Everybody,Brooklyn,NY,US
Adam Melchor,2017-11-12,Fox and Crow,Jersey City,NJ,US
Adam Melchor,2017-11-05,Fox and Crow,Jersey City,NJ,US
Adam Melchor,2017-10-29T18:00:00-0400,Fox and Crow,Jersey City,NJ,US
Adam Melchor,2017-10-28T12:00:00-0400,House of 'Que,Hoboken,NJ,US
Adam Melchor,2017-10-28T19:00:00-0400,Horseneck Tavern,Caldwell,NJ,US
Adam Melchor,2017-10-27T17:30:00-0400,Oh'brian's on the Green,Clark,NJ,US
Adam Melchor,2017-10-22T16:00:00-0400,Fox and Crow,Jersey City,NJ,US
Adam Melchor,2017-10-20T19:00:00-0400,Stone Bar Inn,Stroudsburg,PA,US
Adam Melchor,2017-10-15T18:00:00-0400,Fox and Crow,Jersey City,NJ,US
Adam Melchor,2017-10-14T19:00:00-0400,Caveat,New York (NYC),NY,US
Adam Melchor,2017-10-10T20:00:00-0400,Downtown Cafe,Red Bank,NJ,US
Adam Melchor,2017-10-06T19:00:00-0400,Adelphia Music Hall,Marietta,OH,US
Adam Melchor,2017-09-30,Sofar Sounds - New York,New York (NYC),NY,US
Adam Melchor,2017-09-24T18:00:00-0400,Fox and Crow,Jersey City,NJ,US
Adam Melchor,2017-09-22,Hoboken Oktoberfest 2017,Hoboken,NJ,US
Adam Melchor,2017-09-20T18:30:00-0400,Manhattan,Manhattan,NY,US
Adam Melchor,2017-09-17T18:00:00-0400,Fox and Crow,Jersey City,NJ,US
Adam Melchor,2017-07-26T19:30:00-0400,Zack's,Hoboken,NJ,US
Adam Melchor,2017-07-23T17:00:00-0400,Fox and Crow,Jersey City,NJ,US
Adam Melchor,2017-07-18T19:00:00-0400,Fox and Crow,Jersey City,NJ,US
Adam Melchor,2017-07-14T19:30:00-0400,Mercury Lounge,New York (NYC),NY,US
Adam Melchor,2017-07-07T21:00:00-0400,Maxwell's,Hoboken,NJ,US
Adam Melchor,2017-04-29T19:00:00-0400,"Postcrypt Coffeehouse, Columbia University",New York (NYC),NY,US
Adam Melchor,2017-04-10T19:00:00-0400,Mercury Lounge,New York (NYC),NY,US
Adam Melchor,2017-03-04T22:00:00-0500,The Parlour @ Fox & Crow,Jersey City,NJ,US
Adam Melchor,2017-01-23T19:00:00-0500,Mercury Lounge,New York (NYC),NY,US
Adam Melchor,2016-11-29T20:00:00-0500,C'mon Everybody,Brooklyn,NY,US
Adam Melchor,2016-03-31T20:00:00-0400,Bowery Electric,New York (NYC),NY,US
Adam Melchor,2016-01-12T19:30:00-0500,Bowery Electric,New York (NYC),NY,US
Adam Melchor,2015-10-28T20:00:00-0400,Pete's Candy Store,Brooklyn,NY,US
Adam Melchor,2015-10-22T20:30:00-0400,Mtk Tavern,Mount Kisco,NY,US
Adam Melchor,2015-10-06T18:00:00-0400,Rockwood Music Hall,New York (NYC),NY,US
Adam Melchor,2015-03-31T18:00:00-0400,"Map Room, The Bowery Electric",New York (NYC),NY,US
Adam Melchor,2015-03-27T22:00:00-0400,Rockwood Music Hall Stage 3,New York (NYC),NY,US
Adam Melchor,2015-01-02T22:00:00-0500,Rockwood Music Hall Stage 3,New York (NYC),NY,US
Adam Melchor,2014-08-28T06:30:00-0400,The Batcave,Montclair,NJ,US
