artist,date,venue,city,region,country,performers
Briston Maroney,2020-08-05,Sziget Festival 2020,Budapest,,Hungary,['Briston Maroney']
Briston Maroney,2019-11-23T21:00:00-0600,Exit/In,Nashville,TN,US,"['Briston Maroney', 'covey']"
Briston Maroney,2019-11-21T19:00:00-0500,Beachland Tavern,Cleveland,OH,US,['Briston Maroney']
Briston Maroney,2019-11-20,Schubas Tavern,Chicago,IL,US,['Briston Maroney']
Briston Maroney,2019-11-18T19:00:00-0600,7th St Entry,Minneapolis,MN,US,"['Briston Maroney', 'covey']"
Briston Maroney,2019-11-16T21:00:00-0700,Lost Lake Lounge,Denver,CO,US,"['Briston Maroney', 'covey', 'Roseville']"
Briston Maroney,2019-11-13T20:00:00-0800,Barboza,Seattle,WA,US,"['Briston Maroney', 'covey']"
Briston Maroney,2019-11-12T20:00:00-0800,Holocene,Portland,OR,US,['Briston Maroney']
Briston Maroney,2019-11-10T20:00:00-0800,Bottom of the Hill,San Francisco,CA,US,"['Briston Maroney', 'covey', 'Baybs']"
Briston Maroney,2019-11-06,Badehaus,Berlin,,Germany,"['Briston Maroney', 'Betterov']"
Briston Maroney,2019-11-05,Molotow Skybar,Hamburg,,Germany,"['Briston Maroney', 'Betterov']"
Briston Maroney,2019-11-03,Botanique - Witloof Bar,Brussels,,Belgium,['Briston Maroney']
Briston Maroney,2019-10-31T17:00:00+0100,Grande Halle de la Villette,Paris,,France,['Briston Maroney']
Briston Maroney,2019-10-30T19:30:00+0000,The Hope and Ruin,Brighton,,UK,"['Briston Maroney', 'Jealous Of The Birds']"
Briston Maroney,2019-10-29,Crossing Boarder 2019,The Hague,,Netherlands,['Briston Maroney']
Briston Maroney,2019-10-28T19:30:00+0000,The Lexington,London,,UK,"['Briston Maroney', 'Jealous Of The Birds']"
Briston Maroney,2019-10-27T19:30:00+0000,Brudenell Community Room,Leeds,,UK,"['Briston Maroney', 'Jealous Of The Birds']"
Briston Maroney,2019-10-26T19:30:00+0100,The Hug and Pint,Glasgow,,UK,"['Briston Maroney', 'Jealous Of The Birds']"
Briston Maroney,2019-10-25T19:00:00+0100,Deaf Institute,Manchester,,UK,"['Briston Maroney', 'Jealous Of The Birds']"
Briston Maroney,2019-10-24T19:30:00+0100,Rough Trade Records,Bristol,,UK,"['Briston Maroney', 'Jealous Of The Birds']"
Briston Maroney,2019-10-20T20:00:00-0700,Constellation Room,Santa Ana,CA,US,['Briston Maroney']
Briston Maroney,2019-10-19T19:00:00-0700,The Moroccan Lounge,Los Angeles (LA),CA,US,"['Briston Maroney', 'Slow Caves']"
Briston Maroney,2019-10-16T19:00:00-0700,"Voodoo Room, House of Blues",San Diego,CA,US,['Briston Maroney']
Briston Maroney,2019-10-15T20:00:00-0700,Valley Bar,Phoenix,AZ,US,"['Briston Maroney', 'Slow Caves']"
Briston Maroney,2019-10-14T20:00:00-0600,Meow Wolf,Santa Fe,NM,US,"['Cold War Kids', 'Briston Maroney']"
Briston Maroney,2019-10-11,Zilker Park,Austin,TX,US,['Briston Maroney']
Briston Maroney,2019-10-11T19:00:00-0500,The Rustic,San Antonio,TX,US,"['Cold War Kids', 'Briston Maroney']"
Briston Maroney,2019-10-10T19:00:00-0500,The Rustic Houston - Downtown,Houston,TX,US,"['Cold War Kids', 'Briston Maroney', 'Mobley']"
Briston Maroney,2019-10-09T19:00:00-0500,The Rustic,Dallas,TX,US,"['Cold War Kids', 'Briston Maroney']"
Briston Maroney,2019-10-08T18:30:00-0500,The Jones Assembly,Oklahoma City,OK,US,"['Cold War Kids', 'Briston Maroney']"
Briston Maroney,2019-10-06T18:30:00-0500,Scoot Inn,Austin,TX,US,"['Misterwives', 'Briston Maroney']"
Briston Maroney,2019-10-04T19:00:00-0500,Zilker Park,Austin,TX,US,['Briston Maroney']
Briston Maroney,2019-09-21T19:00:00-0400,Garfield Park,Indianapolis,IN,US,['Briston Maroney']
Briston Maroney,2019-09-17T18:30:00-0400,Mercury Lounge,New York (NYC),NY,US,"['Briston Maroney', 'covey']"
Briston Maroney,2019-08-15,Cat's Cradle,Carrboro,NC,US,"['Illiterate Light', 'Briston Maroney', 'Arson Daily']"
Briston Maroney,2019-08-13T21:00:00-0400,The Earl,East Atlanta,GA,US,"['Illiterate Light', 'Briston Maroney', 'Shane T']"
Briston Maroney,2019-07-04T20:00:00-0500,Cambria Hotel & Suites,Nashville,TN,US,['Briston Maroney']
Briston Maroney,2019-06-14,Kavka Zappa,Antwerp,,Belgium,"['Wallows', 'Briston Maroney']"
Briston Maroney,2019-06-13T20:00:00+0200,La Maroquinerie,Paris,,France,"['Wallows', 'Briston Maroney']"
Briston Maroney,2019-06-11T19:00:00+0100,Leeds Uni Stylus,Leeds,,UK,"['Wallows', 'Briston Maroney']"
Briston Maroney,2019-06-10T19:00:00+0100,O2 Institute Birmingham,Birmingham,,UK,"['Wallows', 'Briston Maroney']"
Briston Maroney,2019-06-08T19:00:00+0100,The Garage,Glasgow,,UK,"['Wallows', 'Briston Maroney']"
Briston Maroney,2019-06-07T18:00:00+0100,Manchester Academy 2,Manchester,,UK,"['Wallows', 'Briston Maroney']"
Briston Maroney,2019-06-06T19:00:00+0100,Electric Brixton,London,,UK,"['Wallows', 'Briston Maroney']"
Briston Maroney,2019-06-03,Mojo Club,Hamburg,,Germany,"['Wallows', 'Briston Maroney']"
Briston Maroney,2019-06-02T19:00:00-0500,recordBar,Kansas City,MO,US,"['Liz Cooper', 'Briston Maroney']"
Briston Maroney,2019-06-02T20:00:00+0200,Paradiso,Amsterdam,,Netherlands,"['Wallows', 'Briston Maroney']"
Briston Maroney,2019-05-31T20:00:00-0600,Larimer Lounge,Denver,CO,US,"['Liz Cooper', 'Briston Maroney']"
