artist,date,venue,city,region,country,performers
The Greeting Committee,2019-03-02T21:00:00-0500,Underground Arts,Philadelphia,PA,US,"['Arkells', 'The Greeting Committee']"
The Greeting Committee,2019-03-01T19:00:00-0500,U Street Music Hall,Washington,DC,US,"['Arkells', 'The Greeting Committee']"
The Greeting Committee,2019-02-28T20:00:00-0500,The Hollow,Albany,NY,US,"['Arkells', 'The Greeting Committee']"
The Greeting Committee,2019-02-26T19:00:00-0500,Irving Plaza,New York (NYC),NY,US,"['Arkells', 'The Greeting Committee']"
The Greeting Committee,2019-02-25T20:00:00-0500,The Sinclair,Cambridge,MA,US,"['Arkells', 'The Greeting Committee']"
The Greeting Committee,2019-02-22T19:00:00-0500,Town Ballroom,Buffalo,NY,US,"['Arkells', 'The Greeting Committee']"
The Greeting Committee,2019-02-21T19:00:00-0500,Town Ballroom,Buffalo,NY,US,"['Arkells', 'The Greeting Committee']"
The Greeting Committee,2018-11-10T20:00:00-0600,The Truman,Kansas City,MO,US,"['The Greeting Committee', 'Brother Moses']"
The Greeting Committee,2018-11-06T19:30:00-0800,The Mint,Los Angeles (LA),CA,US,"['The Greeting Committee', 'Moontower']"
The Greeting Committee,2018-09-22T20:00:00-0400,Port City Music Hall,Portland,ME,US,"['Jukebox the Ghost', 'The Greeting Committee']"
The Greeting Committee,2018-09-21T20:00:00-0400,Gateway City Arts,Holyoke,MA,US,"['Jukebox the Ghost', 'The Greeting Committee']"
The Greeting Committee,2018-09-19T18:00:00-0400,Lost Horizon,Syracuse,NY,US,"['Jukebox the Ghost', 'The Greeting Committee', 'The Demos (Rochester)']"
The Greeting Committee,2018-09-15T20:00:00-0400,The Haunt,Ithaca,NY,US,"['Jukebox the Ghost', 'The Greeting Committee', 'The Demos (Rochester)']"
The Greeting Committee,2018-09-14T19:00:00-0400,Rams Head Live!,Baltimore,MD,US,"['Jukebox the Ghost', 'The Greeting Committee']"
The Greeting Committee,2018-09-13T20:00:00-0400,The Broadberry,Richmond,VA,US,"['Jukebox the Ghost', 'The Greeting Committee']"
The Greeting Committee,2018-09-11T20:00:00-0400,Neighborhood Theatre,Charlotte,NC,US,"['Jukebox the Ghost', 'The Greeting Committee']"
The Greeting Committee,2018-09-10T20:00:00-0500,The Basement East,Nashville,TN,US,"['Jukebox the Ghost', 'The Greeting Committee']"
The Greeting Committee,2018-09-07T20:00:00-0400,Taft Theatre,Cincinnati,OH,US,"['Jukebox the Ghost', 'The Greeting Committee']"
The Greeting Committee,2018-09-06T20:00:00-0400,Hi-Fi,Indianapolis,IN,US,"['Jukebox the Ghost', 'The Greeting Committee']"
The Greeting Committee,2018-07-27T19:30:00-0500,Delmar Hall,St Louis,MO,US,"['The Greeting Committee', 'Teenage Wrist', 'Synthetic Sun']"
The Greeting Committee,2018-05-12T19:00:00-0400,A&R Music Bar,Columbus,OH,US,"['Jukebox the Ghost', 'The Greeting Committee', 'FUTURE FEATS']"
The Greeting Committee,2018-05-10T18:30:00-0500,House of Blues Chicago,Chicago,IL,US,"['Jukebox the Ghost', 'The Greeting Committee', 'FUTURE FEATS']"
The Greeting Committee,2018-04-25T20:00:00-0700,Music Box,San Diego,CA,US,"['Jukebox the Ghost', 'The Greeting Committee']"
The Greeting Committee,2018-04-25T07:00:00-0700,Music Box,San Diego,CA,US,"['Jukebox the Ghost', 'The Greeting Committee']"
The Greeting Committee,2017-10-22,Gas Monkey Live,Dallas,TX,US,['The Greeting Committee']
The Greeting Committee,2017-09-24,Heart Health Park,Sacramento,CA,US,['The Greeting Committee']
The Greeting Committee,2017-09-24,Heart Health Park,Sacramento,CA,US,['The Greeting Committee']
The Greeting Committee,2017-09-24T14:00:00-0700,Heart Health Park,Sacramento,CA,US,"['DREAMCAR', 'blink-182', 'City of Trees', 'Bishop Briggs', 'The Greeting Committee', 'Sir Sly', 'Bleachers', 'Iration']"
The Greeting Committee,2017-08-12T18:00:00-0600,Mishawaka Amphitheatre,Bellvue,CO,US,"['Hippo Campus', 'The Greeting Committee', 'Corsicana']"
The Greeting Committee,2017-08-02T18:00:00-0400,GLC Live at 20 Monroe,Grand Rapids,MI,US,"['Andrew McMahon in the Wilderness', 'A R I Z O N A', 'The Greeting Committee']"
The Greeting Committee,2017-08-01T18:30:00-0400,Sharkey's Bar & Grill,Liverpool,NY,US,"['Andrew McMahon in the Wilderness', 'A R I Z O N A', 'The Greeting Committee']"
The Greeting Committee,2017-07-28T18:30:00-0400,Rams Head Live!,Baltimore,MD,US,"['Andrew McMahon in the Wilderness', 'A R I Z O N A', 'The Greeting Committee']"
The Greeting Committee,2017-07-27T18:00:00-0400,The National,Richmond,VA,US,"['Andrew McMahon in the Wilderness', 'Arizona', 'The Greeting Committee']"
The Greeting Committee,2017-07-26T19:00:00-0500,Mercury Ballroom,Louisville,KY,US,"['Andrew McMahon in the Wilderness', 'The Greeting Committee', 'A R I Z O N A']"
The Greeting Committee,2017-07-22T19:30:00-0500,Tricky Falls,El Paso,TX,US,"['Andrew McMahon in the Wilderness', 'A R I Z O N A', 'The Greeting Committee']"
The Greeting Committee,2017-07-21T20:00:00-0700,The Rock,Tucson,AZ,US,"['Andrew McMahon in the Wilderness', 'A R I Z O N A', 'The Greeting Committee']"
The Greeting Committee,2017-06-27T19:00:00-0400,Bogart's,Cincinnati,OH,US,"['Misterwives', 'The Greeting Committee', 'Bell The Band']"
The Greeting Committee,2017-06-25T19:00:00-0400,The Basement,Columbus,OH,US,"['The Greeting Committee', 'The Cordial Sins']"
The Greeting Committee,2017-06-25T19:00:00-0400,Bogart's,Cincinnati,OH,US,"['Misterwives', 'The Greeting Committee']"
The Greeting Committee,2017-06-21T19:00:00-0400,The Sinclair,Cambridge,MA,US,"['Misterwives', 'The Greeting Committee']"
The Greeting Committee,2017-06-14T20:00:00-0500,Delmar Hall,St Louis,MO,US,"['Misterwives', 'The Greeting Committee', 'Bell The Band']"
The Greeting Committee,2017-05-11T19:00:00-0500,recordBar,Kansas City,MO,US,"['The Greeting Committee', 'Rachel Mallin & The Wild Type']"
The Greeting Committee,2017-04-29T19:00:00-0500,The Bootleg @ Atomic Cowboy,St Louis,MO,US,['The Greeting Committee']
The Greeting Committee,2017-04-27T19:00:00-0400,Pike Room at the Crofoot,Pontiac,MI,US,['The Greeting Committee']
The Greeting Committee,2017-04-26T19:00:00-0500,Subterranean,Chicago,IL,US,"['The Greeting Committee', 'karma wears white ties']"
The Greeting Committee,2017-04-10T21:00:00-0500,Trees,Dallas,TX,US,"['Tennis', 'The Greeting Committee']"
The Greeting Committee,2016-12-03,McMenamins Crystal Ballroom,Portland,OR,US,"['Nahko and Medicine for the People', 'The Greeting Committee']"
The Greeting Committee,2016-11-13,The Magic Bag,Ferndale,MI,US,"['Judah & the Lion', 'The Greeting Committee']"
The Greeting Committee,2016-11-11,Stage AE,Pittsburgh,PA,US,"['Judah & the Lion', 'The Greeting Committee']"
The Greeting Committee,2016-11-10,Headliners Music Hall,Louisville,KY,US,"['Judah & the Lion', 'The Greeting Committee']"
The Greeting Committee,2016-11-04,Baylor University,Waco,TX,US,"['Judah & the Lion', 'The Greeting Committee']"
The Greeting Committee,2016-11-03,Grand Stafford Theater,Bryan,TX,US,"['Judah & the Lion', 'The Greeting Committee']"
The Greeting Committee,2016-11-02,"Academy of Contemporary Music, University of Oklahoma (ACM@UCO)",Oklahoma City,OK,US,"['Judah & the Lion', 'The Greeting Committee']"
The Greeting Committee,2016-09-24,KEMBA Live!,Columbus,OH,US,['The Greeting Committee']
The Greeting Committee,2016-09-24T16:00:00-0400,KEMBA Live!,Columbus,OH,US,"['CHVRCHES', 'Jake Bugg', 'Frank Turner', 'Bleached', 'The Greeting Committee']"
The Greeting Committee,2016-07-25T18:30:00-0400,The Basement,Columbus,OH,US,"['The Greeting Committee', 'Modern Aquatic']"
The Greeting Committee,2016-07-23,West Riverfront Park,Detroit,MI,US,['The Greeting Committee']
The Greeting Committee,2016-06-17,West Bottoms/12th Street Bridge,Kansas City,MO,US,['The Greeting Committee']
The Greeting Committee,2016-06-09T20:00:00-0700,The Independent,San Francisco,CA,US,"[""The Mowgli's"", 'Pom Poms', 'The Greeting Committee']"
The Greeting Committee,2016-06-08T19:00:00-0700,Troubadour,West Hollywood,CA,US,"[""The Mowgli's"", 'Pom Poms', 'The Greeting Committee']"
The Greeting Committee,2016-06-01T20:00:00-0700,The Crocodile - Old Location,Seattle,WA,US,"[""The Mowgli's"", 'Pom Poms', 'The Greeting Committee']"
The Greeting Committee,2016-05-30T20:00:00-0700,Wonder Ballroom,Portland,OR,US,"[""The Mowgli's"", 'Pom Poms', 'The Greeting Committee']"
The Greeting Committee,2016-05-28T21:00:00-0700,The Catalyst,Santa Cruz,CA,US,"[""The Mowgli's"", 'Pom Poms', 'The Greeting Committee']"
The Greeting Committee,2016-05-25T20:00:00-0700,Velvet Jones,Santa Barbara,CA,US,"[""The Mowgli's"", 'Pom Poms', 'The Greeting Committee']"
The Greeting Committee,2016-05-07T20:00:00-0400,The Hollow,Albany,NY,US,"['The Holy White Hounds', 'Run River North', 'The Greeting Committee']"
The Greeting Committee,2016-04-09,Angel's Rock Bar,Kansas City,MO,US,['The Greeting Committee']
The Greeting Committee,2016-04-05T18:30:00-0600,Loading Dock - Old Location,Salt Lake City,UT,US,"['Kitten', 'The Greeting Committee', 'Vinyl Tapestries']"
The Greeting Committee,2016-04-04T19:00:00-0600,The Moon at Summit Music Hall,Denver,CO,US,"['Kitten', 'Viretta', 'The Greeting Committee']"
The Greeting Committee,2016-04-03T19:00:00-0600,Black Sheep,Colorado Springs,CO,US,"['Kitten', 'The Greeting Committee', 'Thunderthief']"
The Greeting Committee,2016-03-29T19:00:00-0500,Beat Kitchen,Chicago,IL,US,"['Kitten', 'Keeps', 'The Greeting Committee']"
The Greeting Committee,2016-03-27T19:30:00-0400,Balcony Bar at the Trocadero,Philadelphia,PA,US,"['Kitten', 'Keeps', 'The Greeting Committee']"
The Greeting Committee,2016-02-13,Tank Room,Kansas City,MO,US,"['Tor Miller', 'Sean Mcverry', 'The Greeting Committee']"
The Greeting Committee,2015-12-17T17:30:00-0600,Arvest Bank Theatre at The Midland,Kansas City,MO,US,"['Bastille', 'The Wombats', 'The Greeting Committee', 'Hembree']"
The Greeting Committee,2015-10-08T20:00:00-0500,High Noon Saloon,Madison,WI,US,"['Saint Motel', 'The Greeting Committee']"
The Greeting Committee,2015-10-04T19:30:00-0500,Wooly's,Des Moines,IA,US,"['Saint Motel', 'The Greeting Committee']"
The Greeting Committee,2015-10-02T19:00:00-0500,Thompson House,Newport,KY,US,"['Saint Motel', 'The Greeting Committee']"
